support,itemsets
0.243,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_High'})"
0.243,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_High', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2662,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.2774,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2774,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.2662,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'steel_weight, tonn_fca_bin_Low'})"
0.2774,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2774,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'technical_trim, tonn_fca_bin_Constant'})"
0.2774,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Low', 'RUL_class_Healthy'})"
0.1672,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'crystallizer_movement, mm_fca_bin_Low'})"
0.2774,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'alloy_speed, meter/minute_fca_bin_Constant'})"
0.2774,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.2774,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Low', 'RUL_class_Healthy'})"
0.2774,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Low', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2304,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.3588,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3588,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.2304,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.3588,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Medium', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.3588,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Medium', 'technical_trim, tonn_fca_bin_Constant'})"
0.3588,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Medium', 'RUL_class_Healthy'})"
0.2244,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_Low', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.3588,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Medium', 'alloy_speed, meter/minute_fca_bin_Constant'})"
0.3588,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Medium', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.3588,"frozenset({'RUL_class_Healthy', 'water_temperature_delta, Celsius deg._fca_bin_Constant', 'workpiece_weight, tonn_fca_bin_Medium'})"
0.3588,"frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Medium', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2764,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2764,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.2764,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.2764,"frozenset({'RUL_class_Healthy', 'technical_trim, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.2764,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_class_Healthy', 'cast_in_row_fca_bin_High'})"
0.2764,"frozenset({'RUL_class_Healthy', 'alloy_speed, meter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.2764,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_High', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.2764,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy', 'cast_in_row_fca_bin_High'})"
0.2764,"frozenset({'RUL_class_Healthy', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_High'})"
0.3088,"frozenset({'RUL_class_Healthy', 'slag_weight_close_grab1, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3088,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3088,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3088,"frozenset({'RUL_class_Healthy', 'technical_trim, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3088,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_class_Healthy', 'cast_in_row_fca_bin_Low'})"
0.207,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_Low', 'cast_in_row_fca_bin_Low'})"
0.3088,"frozenset({'RUL_class_Healthy', 'alloy_speed, meter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3088,"frozenset({'RUL_class_Healthy', 'water_consumption, liter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.3088,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy', 'cast_in_row_fca_bin_Low'})"
0.3088,"frozenset({'RUL_class_Healthy', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Low'})"
0.294,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.294,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'cast_in_row_fca_bin_Medium'})"
0.294,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_Medium', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.294,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_Medium', 'technical_trim, tonn_fca_bin_Constant'})"
0.294,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_class_Healthy', 'cast_in_row_fca_bin_Medium'})"
0.1882,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_Low', 'cast_in_row_fca_bin_Medium'})"
0.294,"frozenset({'RUL_class_Healthy', 'alloy_speed, meter/minute_fca_bin_Constant', 'cast_in_row_fca_bin_Medium'})"
0.294,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_Medium', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.294,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy', 'cast_in_row_fca_bin_Medium'})"
0.294,"frozenset({'RUL_class_Healthy', 'cast_in_row_fca_bin_Medium', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High', 'steel_weight, tonn_fca_bin_High'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High', 'technical_trim, tonn_fca_bin_Constant'})"
0.2428,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_High', 'RUL_class_Healthy'})"
0.1566,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High', 'crystallizer_movement, mm_fca_bin_Low'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High', 'alloy_speed, meter/minute_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.2428,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_High', 'RUL_class_Healthy'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.3796,"frozenset({'RUL_class_Healthy', 'slag_weight_close_grab1, tonn_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'technical_trim, tonn_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.1616,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.1532,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Medium', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3796,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.2316,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_Low', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'alloy_speed, meter/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'water_consumption, liter/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3796,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'steel_weight, tonn_fca_bin_Medium'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'technical_trim, tonn_fca_bin_Constant'})"
0.2568,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'RUL_class_Healthy'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'alloy_speed, meter/minute_fca_bin_Constant'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.2568,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'RUL_class_Healthy'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3796,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'technical_trim, tonn_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2286,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3236,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.327,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.268,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2966,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3146,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.1522,"frozenset({'RUL_class_Healthy', 'slag_weight_close_grab1, tonn_fca_bin_Constant', 'grab2_num_fca_bin_High'})"
0.3562,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.3708,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Medium', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2364,"frozenset({'RUL_class_Healthy', 'resistance, tonn_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.313,"frozenset({'RUL_class_Healthy', 'slag_weight_close_grab1, tonn_fca_bin_Constant', 'resistance, tonn_fca_bin_Low'})"
0.3298,"frozenset({'resistance, tonn_fca_bin_Medium', 'RUL_class_Healthy', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_class_Healthy', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2606,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_High', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.5358,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_Low', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'alloy_speed, meter/minute_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'water_consumption, liter/minute_fca_bin_Constant', 'RUL_class_Healthy', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant', 'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'steel_weight, tonn_fca_bin_High'})"
0.3796,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'steel_weight, tonn_fca_bin_Low'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'technical_trim, tonn_fca_bin_Constant'})"
0.2286,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'grab1_num_fca_bin_High'})"
0.3236,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'grab1_num_fca_bin_Low'})"
0.327,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'grab1_num_fca_bin_Medium'})"
0.268,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'steel_temperature_grab1, Celsius deg._fca_bin_High'})"
0.2966,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'steel_temperature_grab1, Celsius deg._fca_bin_Low'})"
0.3146,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'steel_temperature_grab1, Celsius deg._fca_bin_Medium'})"
0.1522,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'grab2_num_fca_bin_High'})"
0.3562,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Low', 'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.3708,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'grab2_num_fca_bin_Medium'})"
0.2364,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'resistance, tonn_fca_bin_High'})"
0.313,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'resistance, tonn_fca_bin_Low'})"
0.3298,"frozenset({'resistance, tonn_fca_bin_Medium', 'metal_residue_grab1, tonn_fca_bin_Constant', 'RUL_class_Healthy'})"
0.8792,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'metal_residue_grab1, tonn_fca_bin_Constant', 'RUL_class_Healthy'})"
0.2606,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'crystallizer_movement, mm_fca_bin_High'})"
0.5358,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'crystallizer_movement, mm_fca_bin_Low'})"
0.8792,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'alloy_speed, meter/minute_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'water_temperature_delta, Celsius deg._fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'metal_residue_grab1, tonn_fca_bin_Constant', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High', 'technical_trim, tonn_fca_bin_Constant'})"
0.2428,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High'})"
0.1566,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_Low', 'steel_weight, tonn_fca_bin_High'})"
0.2428,"frozenset({'RUL_class_Healthy', 'alloy_speed, meter/minute_fca_bin_Constant', 'steel_weight, tonn_fca_bin_High'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.2428,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High'})"
0.2428,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.3796,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'steel_weight, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'technical_trim, tonn_fca_bin_Constant', 'steel_weight, tonn_fca_bin_Low'})"
0.1616,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Low', 'steel_weight, tonn_fca_bin_Low'})"
0.1532,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Medium', 'steel_weight, tonn_fca_bin_Low'})"
0.3796,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Low'})"
0.2316,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_Low', 'steel_weight, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'alloy_speed, meter/minute_fca_bin_Constant', 'steel_weight, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Low', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.3796,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Low'})"
0.3796,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Low', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium', 'technical_trim, tonn_fca_bin_Constant'})"
0.2568,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'steel_weight, tonn_fca_bin_Medium', 'RUL_class_Healthy'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium', 'alloy_speed, meter/minute_fca_bin_Constant'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.2568,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'steel_weight, tonn_fca_bin_Medium', 'RUL_class_Healthy'})"
0.2568,"frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'technical_trim, tonn_fca_bin_Constant', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2286,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_High', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.3236,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'grab1_num_fca_bin_Low'})"
0.327,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_Medium', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.268,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_High', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2966,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_Low', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.3146,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'steel_temperature_grab1, Celsius deg._fca_bin_Medium'})"
0.1522,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'grab2_num_fca_bin_High'})"
0.3562,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Low', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.3708,"frozenset({'RUL_class_Healthy', 'grab2_num_fca_bin_Medium', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2364,"frozenset({'RUL_class_Healthy', 'resistance, tonn_fca_bin_High', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.313,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'resistance, tonn_fca_bin_Low'})"
0.3298,"frozenset({'resistance, tonn_fca_bin_Medium', 'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'swing_frequency, amount/minute_fca_bin_Constant', 'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.2606,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_High', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.5358,"frozenset({'RUL_class_Healthy', 'crystallizer_movement, mm_fca_bin_Low', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'alloy_speed, meter/minute_fca_bin_Constant', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'water_consumption, liter/minute_fca_bin_Constant'})"
0.8792,"frozenset({'water_temperature_delta, Celsius deg._fca_bin_Constant', 'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant'})"
0.8792,"frozenset({'RUL_class_Healthy', 'residuals_grab2, tonn_fca_bin_Constant', 'water_consumption_secondary_cooling_zone_num1, liter/minute_fca_bin_Constant'})"
0.2286,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_High', 'technical_trim, tonn_fca_bin_Constant'})"
0.3236,"frozenset({'RUL_class_Healthy', 'technical_trim, tonn_fca_bin_Constant', 'grab1_num_fca_bin_Low'})"
0.327,"frozenset({'RUL_class_Healthy', 'grab1_num_fca_bin_Medium', 'technical_trim, tonn_fca_bin_Constant'})"
0.268,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_High', 'technical_trim, tonn_fca_bin_Constant'})"
0.2966,"frozenset({'RUL_class_Healthy', 'steel_temperature_grab1, Celsius deg._fca_bin_Low', 'technical_trim, tonn_fca_bin_Constant'})"
